619899542 function calls (619590250 primitive calls) in 289.689 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.001    0.000 pkgutil.py:403(resolve_name)
        1    0.000    0.000    0.001    0.001 __init__.py:287(compile)
        1    0.000    0.000    0.001    0.001 __init__.py:330(_compile)
        3    0.000    0.000    0.001    0.000 game_controller.py:82(_handle_human_move)
        1    0.000    0.000    0.001    0.001 _compiler.py:757(compile)
        3    0.000    0.000    0.001    0.000 game_controller.py:95(_prompt_legal_move)
        1    0.001    0.001    0.001    0.001 {built-in method _io.open_code}
        4    0.000    0.000    0.001    0.000 rules.py:17(is_in_checkmate)
        5    0.000    0.000    0.001    0.000 game_view.py:55(show_turn_status)
        1    0.000    0.000    0.001    0.001 enum.py:1739(convert_class)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:512(_compile_bytecode)
        1    0.000    0.000    0.001    0.001 mock.py:1764(patch)
        1    0.001    0.001    0.001    0.001 {built-in method marshal.loads}
        1    0.000    0.000    0.000    0.000 _compiler.py:590(_code)
     22/1    0.000    0.000    0.000    0.000 _compiler.py:39(_compile)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1243(_find_spec)
        1    0.000    0.000    0.000    0.000 _parser.py:963(parse)
     14/1    0.000    0.000    0.000    0.000 _parser.py:452(_parse_sub)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1287(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1258(_get_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1360(find_spec)
        1    0.000    0.000    0.000    0.000 mock.py:1677(_get_target)
     14/1    0.000    0.000    0.000    0.000 _parser.py:512(_parse)
      121    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
        6    0.000    0.000    0.000    0.000 mock.py:1170(__call__)
        1    0.000    0.000    0.000    0.000 inspect.py:3309(signature)
        1    0.000    0.000    0.000    0.000 inspect.py:3022(from_callable)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
        5    0.000    0.000    0.000    0.000 {built-in method nt.stat}
      3/1    0.000    0.000    0.000    0.000 inspect.py:2403(_signature_from_callable)
        9    0.000    0.000    0.000    0.000 dataclasses.py:773(_get_field)
        3    0.000    0.000    0.000    0.000 game_view.py:39(prompt_move_coordinates)
        6    0.000    0.000    0.000    0.000 mock.py:1181(_increment_mock_call)
        1    0.000    0.000    0.000    0.000 mock.py:2174(__init__)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        2    0.000    0.000    0.000    0.000 dataclasses.py:618(_init_fn)
      106    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
    63/53    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 game_controller.py:21(configure)
        2    0.000    0.000    0.000    0.000 mock.py:2180(_mock_set_magics)
    63/53    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:101(_path_join)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
        3    0.000    0.000    0.000    0.000 game_view.py:85(_prompt_choice)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 inspect.py:2297(_signature_from_function)
