730048278 function calls (729822249 primitive calls) in 219.429 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:1360(_find_and_load)
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:914(_load_unlocked)
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap_external>:756(exec_module)
        5    0.000    0.000    0.003    0.001 board_view.py:11(draw)
       10    0.003    0.000    0.003    0.000 {built-in method builtins.print}
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:483(_call_with_frames_removed)
      3/1    0.001    0.000    0.002    0.002 {built-in method builtins.exec}
        1    0.000    0.000    0.002    0.002 pstats.py:1(<module>)
        2    0.000    0.000    0.001    0.001 dataclasses.py:1359(wrap)
        2    0.000    0.000    0.001    0.001 dataclasses.py:934(_process_class)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:829(get_code)
        1    0.000    0.000    0.001    0.001 mock.py:1479(__enter__)
        4    0.000    0.000    0.001    0.000 rules.py:17(is_in_checkmate)
        3    0.000    0.000    0.001    0.000 game_controller.py:82(_handle_human_move)
        2    0.000    0.000    0.001    0.000 dataclasses.py:478(add_fns_to_class)
        3    0.000    0.000    0.001    0.000 game_controller.py:95(_prompt_legal_move)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:950(get_data)
        5    0.000    0.000    0.001    0.000 game_view.py:55(show_turn_status)
        1    0.001    0.001    0.001    0.001 {built-in method _io.open_code}
        2    0.000    0.000    0.001    0.000 pkgutil.py:403(resolve_name)
        1    0.000    0.000    0.001    0.001 __init__.py:287(compile)
        1    0.000    0.000    0.001    0.001 __init__.py:330(_compile)
        1    0.000    0.000    0.001    0.001 _compiler.py:757(compile)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1243(_find_spec)
        1    0.000    0.000    0.000    0.000 _parser.py:963(parse)
     14/1    0.000    0.000    0.000    0.000 _parser.py:452(_parse_sub)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1287(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1258(_get_spec)
     14/1    0.000    0.000    0.000    0.000 _parser.py:512(_parse)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1360(find_spec)
    53/43    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:512(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        6    0.000    0.000    0.000    0.000 mock.py:1170(__call__)
        1    0.000    0.000    0.000    0.000 inspect.py:3309(signature)
        1    0.000    0.000    0.000    0.000 inspect.py:3022(from_callable)
        1    0.000    0.000    0.000    0.000 enum.py:1739(convert_class)
      3/1    0.000    0.000    0.000    0.000 inspect.py:2403(_signature_from_callable)
        1    0.000    0.000    0.000    0.000 _compiler.py:590(_code)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
        5    0.000    0.000    0.000    0.000 {built-in method nt.stat}
        3    0.000    0.000    0.000    0.000 game_view.py:39(prompt_move_coordinates)
        6    0.000    0.000    0.000    0.000 mock.py:1181(_increment_mock_call)
        1    0.000    0.000    0.000    0.000 board.py:45(set_up_pieces)
     22/1    0.000    0.000    0.000    0.000 _compiler.py:39(_compile)
        1    0.000    0.000    0.000    0.000 mock.py:2174(__init__)
        1    0.000    0.000    0.000    0.000 game_controller.py:21(configure)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:101(_path_join)
        2    0.000    0.000    0.000    0.000 mock.py:2180(_mock_set_magics)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        3    0.000    0.000    0.000    0.000 game_view.py:85(_prompt_choice)
        9    0.000    0.000    0.000    0.000 dataclasses.py:773(_get_field)
        1    0.000    0.000    0.000    0.000 inspect.py:2297(_signature_from_function)
    53/43    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      106    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:809(module_from_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:419(__enter__)
        1    0.000    0.000    0.000    0.000 mock.py:56(_is_async_obj)
        2    0.000    0.000    0.000    0.000 move_validator.py:7(is_move_valid)
      121    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(_init_module_attrs)
        2    0.000    0.000    0.000    0.000 dataclasses.py:618(_init_fn)
        6    0.000    0.000    0.000    0.000 mock.py:1178(_mock_call)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:243(cache_from_source)
    20/19    0.000    0.000    0.000    0.000 mock.py:805(__setattr__)
        1    0.000    0.000    0.000    0.000 game_view.py:7(prompt_game_mode)
        1    0.000    0.000    0.000    0.000 inspect.py:3245(__str__)
        1    0.000    0.000    0.000    0.000 inspect.py:3248(format)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:635(cached)
        6    0.000    0.000    0.000    0.000 mock.py:1227(_execute_mock_call)
        1    0.000    0.000    0.000    0.000 pstats.py:107(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:372(_get_cached)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.000    0.000 pstats.py:117(init)
        3    0.000    0.000    0.000    0.000 inspect.py:1904(_signature_get_user_defined_method)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1355(_get_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
        5    0.000    0.000    0.000    0.000 color.py:8(__str__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
        8    0.000    0.000    0.000    0.000 inspect.py:2670(__init__)
        9    0.000    0.000    0.000    0.000 _parser.py:98(closegroup)
        1    0.000    0.000    0.000    0.000 mock.py:1153(__init__)
        1    0.000    0.000    0.000    0.000 pstats.py:136(load_stats)
       24    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FF90E9A5D90}
        1    0.000    0.000    0.000    0.000 inspect.py:323(iscoroutinefunction)
        1    0.000    0.000    0.000    0.000 inspect.py:2021(_signature_bound_method)
        4    0.000    0.000    0.000    0.000 game.py:25(make_move)
    27/10    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
        2    0.000    0.000    0.000    0.000 move_strategies.py:268(is_move_valid)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:969(path_stats)
        1    0.000    0.000    0.000    0.000 cProfile.py:53(create_stats)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:563(spec_from_file_location)
        1    0.000    0.000    0.000    0.000 game_view.py:28(prompt_ai_depth)
        8    0.000    0.000    0.000    0.000 dataclasses.py:445(add_fn)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 game_view.py:18(prompt_human_color)
        1    0.000    0.000    0.000    0.000 inspect.py:285(_has_code_flag)
       12    0.000    0.000    0.000    0.000 mock.py:2572(__new__)
        7    0.000    0.000    0.000    0.000 inspect.py:2760(_format)
        1    0.000    0.000    0.000    0.000 mock.py:1764(patch)
        3    0.000    0.000    0.000    0.000 annotationlib.py:831(get_annotations)
        1    0.000    0.000    0.000    0.000 enum.py:479(__new__)
        2    0.000    0.000    0.000    0.000 inspect.py:2962(__init__)
        2    0.000    0.000    0.000    0.000 move_strategies.py:500(_is_forward_move_valid)
        1    0.000    0.000    0.000    0.000 mock.py:445(__new__)
